dte,pc
2020-04-26,0.54
2020-04-27,0.5
2020-04-28,0.47000000000000003
2020-04-29,0.44
2020-04-30,0.41000000000000003
2020-05-01,0.38999999999999996
2020-05-02,0.36
2020-05-03,0.33999999999999997
2020-05-04,0.32
2020-05-05,0.3
2020-05-06,0.29
2020-05-07,0.27
2020-05-08,0.26
2020-05-09,0.24
2020-05-10,0.22999999999999998
2020-05-11,0.22
2020-05-12,0.2
2020-05-13,0.19
2020-05-14,0.18
2020-05-15,0.16999999999999998
2020-05-16,0.16999999999999998
2020-05-17,0.16
2020-05-18,0.15
2020-05-19,0.13999999999999999
2020-05-20,0.13
2020-05-21,0.13
2020-05-22,0.12
2020-05-23,0.12
2020-05-24,0.11
2020-05-25,0.11
2020-05-26,0.1
2020-05-27,0.1
2020-05-28,0.09
2020-05-29,0.09
2020-05-30,0.09
2020-05-31,0.08
2020-06-01,0.08
2020-06-02,0.08
2020-06-03,0.06999999999999999
2020-06-04,0.06999999999999999
2020-06-05,0.06999999999999999
2020-06-06,0.06999999999999999
2020-06-07,0.06999999999999999
2020-06-08,0.06
2020-06-09,0.06
2020-06-10,0.06
2020-06-11,0.06
2020-06-12,0.06
2020-06-13,0.06
2020-06-14,0.06
2020-06-15,0.06
2020-06-16,0.06
2020-06-17,0.06
2020-06-18,0.05
2020-06-19,0.05
2020-06-20,0.05
2020-06-21,0.05
2020-06-22,0.05
2020-06-23,0.05
2020-06-24,0.05
2020-06-25,0.05
2020-06-26,0.05
2020-06-27,0.05
2020-06-28,0.05
2020-06-29,0.05
2020-06-30,0.05
2020-07-01,0.05
2020-07-02,0.05
2020-07-03,0.05
2020-07-04,0.05
2020-07-05,0.05
2020-07-06,0.05
2020-07-07,0.05
2020-07-08,0.05
2020-07-09,0.05
2020-07-10,0.05
2020-07-11,0.05
2020-07-12,0.05
2020-07-13,0.05
2020-07-14,0.05
2020-07-15,0.05
2020-07-16,0.05
2020-07-17,0.05
2020-07-18,0.05
2020-07-19,0.05
2020-07-20,0.05
2020-07-21,0.05
2020-07-22,0.05
2020-07-23,0.05
2020-07-24,0.05
2020-07-25,0.05
2020-07-26,0.05
2020-07-27,0.05
2020-07-28,0.05
2020-07-29,0.05
2020-07-30,0.05
2020-07-31,0.05
2020-08-01,0.05
2020-08-02,0.05
2020-08-03,0.05
2020-08-04,0.05
2020-08-05,0.05
2020-08-06,0.05
2020-08-07,0.05
2020-08-08,0.05
2020-08-09,0.05
2020-08-10,0.05
2020-08-11,0.05
2020-08-12,0.05
2020-08-13,0.05
2020-08-14,0.05
2020-08-15,0.05
2020-08-16,0.05
2020-08-17,0.05
2020-08-18,0.05
2020-08-19,0.06
2020-08-20,0.06
2020-08-21,0.09
2020-08-22,0.08
2020-08-23,0.08
2020-08-24,0.08
2020-08-25,0.09
2020-08-26,0.09
2020-08-27,0.09
2020-08-28,0.08
2020-08-29,0.08
2020-08-30,0.08
2020-08-31,0.09
2020-09-01,0.09
2020-09-02,0.1
2020-09-03,0.1
2020-09-04,0.11
2020-09-05,0.12
2020-09-06,0.13
2020-09-07,0.13
2020-09-08,0.13
2020-09-09,0.13999999999999999
2020-09-10,0.15
2020-09-11,0.15
2020-09-12,0.16999999999999998
2020-09-13,0.18
2020-09-14,0.18
2020-09-15,0.19
2020-09-16,0.2
2020-09-17,0.21
2020-09-18,0.22
2020-09-19,0.22999999999999998
2020-09-20,0.25
2020-09-21,0.26
2020-09-22,0.27999999999999997
2020-09-23,0.29
2020-09-24,0.31
2020-09-25,0.33
2020-09-26,0.36
2020-09-27,0.38
2020-09-28,0.4
2020-09-29,0.43
2020-09-30,0.45999999999999996
2020-10-01,0.49
2020-10-02,0.51
2020-10-03,0.54
2020-10-04,0.5499999999999999
2020-10-05,0.5700000000000001
2020-10-06,0.59
2020-10-07,0.61
2020-10-08,0.64
2020-10-09,0.67
2020-10-10,0.69
2020-10-11,0.73
2020-10-12,0.76
2020-10-13,0.79
2020-10-14,0.8200000000000001
2020-10-15,0.8500000000000001
2020-10-16,0.88
2020-10-17,0.91
2020-10-18,0.9400000000000001
2020-10-19,0.97
2020-10-20,1.0
2020-10-21,1.03
2020-10-22,1.06
2020-10-23,1.08
2020-10-24,1.0999999999999999
2020-10-25,1.0999999999999999
2020-10-26,1.11
2020-10-27,1.1199999999999999
2020-10-28,1.1199999999999999
2020-10-29,1.13
2020-10-30,1.1400000000000001
2020-10-31,1.15
2020-11-01,1.16
2020-11-02,1.17
2020-11-03,1.1900000000000002
2020-11-04,1.2
2020-11-05,1.22
2020-11-06,1.23
2020-11-07,1.24
2020-11-08,1.25
2020-11-09,1.26
2020-11-10,1.27
2020-11-11,1.27
2020-11-12,1.27
2020-11-13,1.26
2020-11-14,1.25
2020-11-15,1.23
2020-11-16,1.21
2020-11-17,1.18
2020-11-18,1.16
2020-11-19,1.13
2020-11-20,1.0999999999999999
2020-11-21,1.0699999999999998
2020-11-22,1.06
2020-11-23,1.02
2020-11-24,0.9900000000000001
2020-11-25,0.97
2020-11-26,0.96
2020-11-27,0.95
2020-11-28,0.9400000000000001
2020-11-29,0.9400000000000001
2020-11-30,0.9400000000000001
2020-12-01,0.95
2020-12-02,0.95
